Round Number,Train Loss,Test Accuracy
2,1.1808911011707965,0.7511496167944018
3,0.6713287739439442,0.7932689103632122
4,0.5750728912372204,0.8047984005331557
5,0.5359096228691186,0.8161946017994002
6,0.5123744558063826,0.8231922692435855
7,0.493363827249765,0.8273242252582472
8,0.47900834432272216,0.8305231589470177
9,0.46735364692880826,0.834921692769077
10,0.4561573014569937,0.839453515494835
11,0.44602430393686104,0.8429856714428524
12,0.43655021499626967,0.8465178273908697
13,0.4271167158106347,0.8484505164945019
14,0.42046594985693897,0.8501832722425858
15,0.41331046281978556,0.8531156281239587
16,0.40789026299585973,0.8560479840053316
17,0.4001874922509596,0.8561146284571809
18,0.395560752645137,0.8588470509830056
19,0.3948154650174531,0.8564478507164278
20,0.38744327875423623,0.8613128957014329
21,0.3833958378911055,0.861512829056981
22,0.37852647531974964,0.86377874041986
23,0.3739393607516107,0.8663112295901366
24,0.37029106468638406,0.8673775408197267
25,0.36788086406183124,0.8693102299233589
26,0.3653878567423354,0.8700433188937021
27,0.3630738854275228,0.8720426524491836
28,0.3604135645949984,0.8703098967010996
29,0.35974422427683644,0.8701766077974009
30,0.35455304624367573,0.87350883038987
31,0.3528407080380771,0.8730423192269243
32,0.3524081954150602,0.8731756081306231
33,0.349679464459391,0.8739753415528158
34,0.34692503334808766,0.875241586137954
35,0.34675308250075104,0.8734421859380207
36,0.34380076637446133,0.874375208263912
37,0.34046048658615025,0.8777740753082306
38,0.33928077027321785,0.8763745418193936
39,0.33740226992718464,0.8773742085971343
40,0.33528846002024804,0.8779073642119294
41,0.33396250485471696,0.8778407197600799
42,0.3321132391209589,0.8785071642785738
43,0.3298537185278613,0.8780406531156282
44,0.3284371211373667,0.8792402532489171
45,0.32758680386244926,0.8788403865378207
46,0.32634431277565223,0.8788403865378207
47,0.32449206071486675,0.8795734755081639
48,0.32174502002697714,0.8810396534488504
49,0.32156493261449937,0.8811062979006997
50,0.32029307317683486,0.881839386871043
51,0.31724889633105924,0.8819726757747417
52,0.3171510784667881,0.8817727424191936
53,0.3168060498169879,0.8807064311896035
54,0.3133759816388811,0.8821726091302899
55,0.3121646574131988,0.8836387870709763
56,0.31154738559270895,0.8828390536487838
57,0.30806555987394507,0.8839720093302232
58,0.3089857163371221,0.8835054981672775
